category,value,question,answer
TELEVISION HISTORY,300,The FCC deleted this channel number from VHF allocations in 1948,1
GUINNESS RECORDS,300,The greatest tides occur in this Canadian bay,Bay of Fundy
"MIND YOUR ""P""s & ""Q""s",300,The first free-fall jump using one of these devices was from a damaged airplane in 1922,Parachute
NEVADA,400,"William Randolph Hearst's father George made a ""lode"" of money when he invested in this mining area",Comstock
NEWSPAPERS & MAGAZINES,400,Columbia is the magazine of this fraternal order of Roman Catholic men,Knights of Columbus
COLORFUL BOOKS,400,"Conan Doyle's ""The Sign of Four"" & this Oscar Wilde novel were commissioned at the same time","""The Picture of Dorian Gray"""
TELEVISION HISTORY,400,"This first host of ""The Tonight Show"" emceed ""Meeting of Minds"" for PBS in 1977",Steve Allen
GUINNESS RECORDS,400,"A Fender Stratocaster belonging to this man who died in 1970 sold for a record $338,580 in 1990",Jimi Hendrix
"MIND YOUR ""P""s & ""Q""s",400,Today most of this medicine comes from cinchona trees in Java,Quinine
NEVADA,500,Saloons in this city include the Bucket of Blood & the Ponderosa,Virginia City
NEWSPAPERS & MAGAZINES,500,"His famous open letter ""J'accuse"" was published in the newspaper L'Aurore",Emile Zola
COLORFUL BOOKS,500,In 1941 Walter Farley created this now-classic animal tale,"""The Black Stallion"""
TELEVISION HISTORY,500,"In 1957 this duo created the musical ""Cinderella"" expressly for television",Rodgers & Hammerstein
GUINNESS RECORDS,500,The highest price paid for one of these was $3.315 million for a Patek Philippe Calibre 89,Watch
"MIND YOUR ""P""s & ""Q""s",500,"Used in jellies & compotes, this fruit of the rose family puckers the mouth when tasted raw",Quince
18th CENTURY AMERICANS,200,"When caught as a spy in September of 1776, he was disguised as a Dutch schoolteacher",Nathan Hale
COLLEGES & UNIVERSITIES,200,"This university has campuses at Tuscaloosa, Huntsville & Birmingham",University of Alabama
MUSIC,200,"A composer's works are often numbered & appear with the abbreviation Op., which stands for this",Opus
FAMOUS WOMEN,200,This founder of the American Red Cross also founded one of New Jersey's first public schools,Clara Barton
ISLANDS,200,"Victoria, the capital of British Columbia, is located on this island",Vancouver Island
PLAYS & PLAYWRIGHTS,200,"A defrocked minister-turned-tour guide is the leading character in his play ""The Night of the Iguana""",Tennessee Williams
18th CENTURY AMERICANS,400,"During the last years of the revolution, he worked on his ""Notes on the State of Virginia""",Thomas Jefferson
COLLEGES & UNIVERSITIES,400,Churchill College is one of 31 residential colleges at this British university,Cambridge
MUSIC,400,Earlier composers used these large drums in pairs; modern composers may use 3 or more,Timpani
FAMOUS WOMEN,400,"A candidate for vice president in 1984, she ran for the Senate in 1992",Geraldine Ferraro
ISLANDS,400,"What Argentina calls the Islas Malvinas, England calls this",Falkland Islands
PLAYS & PLAYWRIGHTS,400,"He was a writer for ""The Garry Moore Show"" when he began his first play ""Come Blow Your Horn""",Neil Simon
18th CENTURY AMERICANS,600,He protested the Stamp Act through his widely circulated copper engravings,Paul Revere
COLLEGES & UNIVERSITIES,600,"The oldest U.S. university west of the Alleghenies is Transylvania University, at Lexington, in this state",Kentucky
MUSIC,600,Styles of music in the titles of the JVC & Playboy festivals,Jazz
FAMOUS WOMEN,600,"Urged by Louis Leakey, she went to Africa to study mountain gorillas in 1966",Dian Fossey
ISLANDS,600,The last pureblooded Aborigine on this Australian island died in 1876,Tasmania
PLAYS & PLAYWRIGHTS,600,"""Plutus"" is the latest extant play by this master of ancient Greek comedy who gave us ""The Birds""",Aristophanes
18th CENTURY AMERICANS,800,"About 60% of the essays in ""The Federalist"" were written by him",Alexander Hamilton
COLLEGES & UNIVERSITIES,800,"The University of Cape Town is on the grounds of Groote Schuur, the estate of this 19th century diamond king",Cecil Rhodes
MUSIC,800,"Sousa wrote ""Semper Fidelis"" during the 12 years he directed this group",Marine Corps Marching Band
FAMOUS WOMEN,800,In 1975 a New Jersey park was named for this swimmer of the English Channel,Gertrude Ederle
ISLANDS,800,"This unincorporated U.S. territory includes the islands of Olosega, Ofu & Tutuila",American Samoa
PLAYS & PLAYWRIGHTS,800,"The women in his play ""Three Tall Women"" are known by the letters ""A"", ""B"" & ""C"", not by names",Edward Albee
18th CENTURY AMERICANS,1200,"In 1770, this future president defended the British soldiers accused in the Boston Massacre & won the case",John Adams
COLLEGES & UNIVERSITIES,1000,"Established in 1881, this Atlanta college is America's oldest college for black women",Spelman College
MUSIC,1000,"After his 1901 opera ""Feuersnot"" flopped, he found a wild story, ""Salome""",Richard Strauss
FAMOUS WOMEN,1000,"As well as MADD, she founded SADD, Students Against Driving Drunk",Candy Leitner
ISLANDS,2000,"Mount Fengari, the highest point in the Aegean, is on this island, famous for its ""Winged Victory"" statue",Samothrace
PLAYS & PLAYWRIGHTS,1000,"""Master Harold...and the Boys"" was the first of this South African's plays to premiere in the United States",Athol Fugard
FAMOUS FRANKS,100,"This ""Wizard of Oz"" author edited a trade magazine for store window decorators",L. Frank Baum
HIGHWAYS & BYWAYS,100,"The name of this famous street is French for ""Avenue of the Elysian Fields""",Champs-Elysees
BASEBALL,100,Pitcher Nolan Ryan set a major league record in 1973 by recording 383 of these,Strikeouts
DANCE,100,"The Kathak is an exciting rhythmic dance from this country, while the Kathakali is a Hindu dance drama",India
FAMILIAR PHRASES,100,"A person with a hidden flaw is said to have feet of this, from a dream image in Daniel 2:33",Clay
GOLD RUSHES,100,During this country's gold rush Melbourne served as an outfitting center for prospectors,Australia
FAMOUS FRANKS,200,Frank Fitzsimmons took control of this union when Jimmy Hoffa was imprisoned in 1967,Teamsters
HIGHWAYS & BYWAYS,200,"The Passetto, a fortified corridor, connects Castel Sant'Angelo with this city",Vatican City
BASEBALL,200,In 1978 this Cincinnati Red set a modern-day National League record with a 44-game hitting streak,Pete Rose
DANCE,200,Act II of this 1948 fairy tale ballet choreographed by Frederick Ashton is set at a palace ball,Cinderella
FAMILIAR PHRASES,200,"Many aquatic animals swim open-mouthed & appear to drink constantly, hence the phrase ""to drink like"" this",a fish
GOLD RUSHES,200,"Four years after gold was found at his mill on January 24, 1848, he was bankrupt",John Sutter
FAMOUS FRANKS,300,This musical satirist founded the Mothers of Invention in 1964,Frank Zappa
HIGHWAYS & BYWAYS,300,You'll find this oldest public park in the United States between Beacon & Tremont Streets,Boston Common
BASEBALL,300,"Only 3 players have hit 600 major league home runs: Hank Aaron, Babe Ruth & this Giants outfielder",Willie Mays
DANCE,300,Ballerina Alicia Markova was director of this U.S. opera company's ballet from 1963-1969,Metropolitan Opera
FAMILIAR PHRASES,300,"The depressing expression ""down in"" these is probably derived from a Middle Dutch word for haze",Dumps
GOLD RUSHES,300,In 1896 gold was discovered at Rabbit Creek in this area of the Yukon,Klondike
FAMOUS FRANKS,400,In Gemini 7 he & Jim Lovell set a 14-day endurance record,Frank Borman
HIGHWAYS & BYWAYS,400,This city's Unter den Linden was laid out to connect the Royal Palace with the Tiergarten,Berlin
BASEBALL,400,In 1995 he broke Lou Gehrig's record for consecutive games played,"Cal Ripken, Jr."
DANCE,400,"The Joged is a modernized version of the Legong, the best-known dance of this Indonesian island",Bali
FAMILIAR PHRASES,400,"Akin to ""caught in the act"", to be caught this way alludes to a murderer smeared with blood",Caught red-handed
GOLD RUSHES,400,The gold rush into the Transvaal was halted by this 1899-1902 war,Boer War
FAMOUS FRANKS,500,This Idaho Democratic senator was active in investigating abuses by the CIA,Frank Church
HIGHWAYS & BYWAYS,500,The Sacred Way zigzagged from the entrance of this oracle's ancient sanctuary to the Temple of Apollo,Delphi
BASEBALL,500,This man with the middle name Mountain was baseball's first & longest-serving commissioner,Kennesaw Mountain Landis
DANCE,1000,He began with the Lester Horton Dance Theater before founding his own American Dance Theater in 1958,Alvin Ailey
FAMILIAR PHRASES,500,"Frenchmen once assumed names in the military, hence this phrase, French for ""name of war""",Nom de guerre
GOLD RUSHES,500,"At the turn of the century, Cripple Creek in this state was the richest goldfield in America",Colorado
ASSASSINATIONS,200,"This leader of India was assassinated in 1991, 6 1/2 years after his mother",Rajiv Gandhi
FLOWERS,200,This Christmas flower can grow as tall as 10 feet with leaves 6 inches long,Poinsettia
THE CARIBBEAN,200,It's the official language of Jamaica,English
SCIENTISTS,200,"It's believed this ""Rubaiyat"" author helped reform the Muslim calendar",Omar Khayyam
ECONOMICS,200,It's the unit of currency of the most populous country in North America,Dollar
WOMEN NOVELISTS,200,"This author of ""The Fountainhead"" graduated from the University of Petrograd in 1924",Ayn Rand
ASSASSINATIONS,400,This Egyptian president was fatally shot while attending a military parade in 1981,Anwar Sadat
FLOWERS,400,"Its name is a corruption of the French pensee, ""thought""",Pansy
THE CARIBBEAN,400,U.S. citizens arriving at its Luis Munoz Marin International Airport don't have to clear customs,Puerto Rico
SCIENTISTS,400,"Using a prism, this Englishman proved that white light is a combination of the colors of the spectrum",Sir Isaac Newton
ECONOMICS,400,"In 1990, about two-thirds of Americans over 65 relied on this for over half their income",Social Security
WOMEN NOVELISTS,400,"Elizabeth Spencer set her novel ""The Light in the Piazza"" in this country, where she lived in the 1950s",Italy
ASSASSINATIONS,600,In 1923 this Mexican bandit & several of his men were ambushed while driving,Pancho Villa
FLOWERS,600,"This boutonniere flower, also known as a clove pink due to its fragrance, is No. 2 in commercial value in the United States",Carnation
THE CARIBBEAN,600,"In this group, Tortola is connected to Beef Island by the Queen Elizabeth Bridge",British Virgin Islands
SCIENTISTS,600,"In 1980, for her concerns over pollution, she was posthumously awarded a Presidential Medal of Freedom",Rachel Carson
ECONOMICS,600,2-word economic phrase that describes the period of U.S. history from 1929-1939,Great Depression
WOMEN NOVELISTS,600,"This ""Gigi"" novelist wrote ""Cheri"" in 1920 & ""The Last of Cheri"" in 1926",Colette
ASSASSINATIONS,800,Tsarina Alexandra frequently prayed on the grave of this mystic murdered in 1916,Rasputin
FLOWERS,800,"Bloom forms of this large hardy perennial include spoon, quill & pompon",Chrysanthemum
THE CARIBBEAN,800,"Palm Beach, one of the world's best, is on this ""A"" of the ABC Islands",Aruba
SCIENTISTS,800,In 1948 the Kaiser Wilhelm Society was renamed for this originator of the quantum theory,Max Planck
ECONOMICS,800,"The high-yield, high-risk bonds of the 1980s were known by this 4-letter word",Junk bonds
WOMEN NOVELISTS,800,"Dorlcote Mill, in her book ""The Mill on the Floss"", resembles Arbury Estate, where she played as a child",George Eliot
ASSASSINATIONS,1000,This country's King Gustav III was shot at a masked ball in 1792 & died two weeks later,Sweden
FLOWERS,1000,"The oil from this evening flower is high in gamma-linolenic acid, an essential fatty acid",Evening primrose
THE CARIBBEAN,1000,"Over 500 offshore banks are located in Georgetown, the capital of this group",Cayman Islands
SCIENTISTS,1000,"Though oxygen was discovered by Joseph Priestley, this 18th century French chemist gave it its name",Antoine Lavoisier
ECONOMICS,1000,"The formula to determine this, the CPI, is basically the Laspeyres index formula",Consumer Price Index
WOMEN NOVELISTS,1000,"Anne Tyler is often compared to this female novelist from Mississippi, her favorite writer",Eudora Welty
IN THE NEWS,100,"A bill signed in July 1996 allows taxpayers to sue this agency for up to $1,000,000 for reckless collections",the IRS
WEIGHTS & MEASURES,100,"In golf a standard one of these is 2 1/8"" long & holds up to a 1.62-ounce ball",the tee
MUSIC,100,"The ""Black or White"" video from his ""Dangerous"" album was directed by John Landis",Michael Jackson
STATE CAPITALS,100,Grand Canyon University is located in this state capital,Phoenix
INVERTEBRATES,100,This feature is internal on a cuttlefish & external on a snail,the shell
DOUBLE D WORDS,100,Walk like a duck,waddle
IN THE NEWS,500,"Summer 1996 event whose route is depicted <a href=""http://www.j-archive.com/media/1996-09-10_J_12a.jpg"" target=""_blank"">here</a>",the Olympic Torch Relay
WEIGHTS & MEASURES,200,"Running time in silent films was measured in these, each about 10 minutes long",reels
MUSIC,200,"This Big Band clarinetist's 1939 autobiography was titled ""The Kingdom of Swing""",Benny Goodman
STATE CAPITALS,200,Mendenhall Glacier & Glacier Bay National Park lie near this capital city,"Juneau, Alaska"
INVERTEBRATES,200,"On the largest jellyfish, these may be over 100 feet long",the tentacles
DOUBLE D WORDS,200,Siddhartha Gautama's title,Buddha
IN THE NEWS,300,Worcester in this state declared itself birthplace of the yellow smiley face; Harvey Ball drew it there in 1963,Massachusetts
WEIGHTS & MEASURES,300,"In the metric system, dkL stands for this unit",a dekaliter
MUSIC,300,"Telma Hopkins & Joyce Wilson provided backup vocals for him on ""Tie a Yellow Ribbon Round the Ole Oak Tree""",Tony Orlando
STATE CAPITALS,300,"In 1838 Pierre ""Pig's Eye"" Parrant became the first setller in what is now this Minnesota capital",St. Paul
INVERTEBRATES,300,"When a planarian, one of these, is cut in half, both halves will regrow",a worm
DOUBLE D WORDS,300,In 1908 it was proclaimed a national Jewish language,Yiddish
IN THE NEWS,400,"The August 3, 1981 Time cover story was on their wedding; the July 22, 1996 cover story concerned their divorce",Prince Charles & Lady Di
WEIGHTS & MEASURES,400,"Size numbers for these run from 1 to the 20s & types include sharps, milliner's & chenilles",needles
MUSIC,400,"His No. 1 country song ""A Boy Named Sue"" was recorded live at San Quentin Prison",Johnny Cash
STATE CAPITALS,400,"In 1614 Fort Nassau, a Dutch trading post, was established on the site of this capital",Albany (New York)
INVERTEBRATES,400,"The skeleton of a starfish is made of this, CaCO3, just like chalk",calcium carbonate
DOUBLE D WORDS,400,"It can mean the mean, or the waist",the middle
IN THE NEWS,500,He & H. Ross Perot vied for the Reform Party's presidential nomination,Dick Lamm
WEIGHTS & MEASURES,500,"Following ""assay"", this 3-letter word is a unit of mass; following ""freight"", it's a unit of capacity",ton
MUSIC,500,"This guitarist's ""Blues Summit"" was named Best Traditional Blues Album at 1994's Grammys",B.B. King
STATE CAPITALS,500,It's Wyoming's largest city & manufacturing center,Cheyenne
INVERTEBRATES,500,"Barnacles & beetles are classified as this kind of creature, meaning ""joint-footed""",arthropods
DOUBLE D WORDS,500,"Pamper a person, or cook eggs gently in water without boiling",coddle
SHE WAS IN THAT?,200,"This ""Murder, She Wrote"" star played Delilah's older sister in the 1949 De Mille epic ""Samson and Delilah""",Angela Lansbury
SCIENCE,200,"This form of oxygen, O3, is a major source of air pollution",ozone
MUSEUMS,200,This London museum's Department of Egyptian Antiquities houses the famous Rosetta Stone,the British Museum
MODERN HISTORY,200,John Poindexter's conviction for his role in this scandal was overturned in 1991,the Iran-Contra affair
BOOKS & AUTHORS,200,"Mary Higgins Clark's recent book ""Silent Night"" takes place on the eve of this holiday",Christmas
POTENT POTABLES,200,"Poteen is the Irish version of this illegally-made U.S. whiskey with this ""nocturnal"" name",moonshine
SHE WAS IN THAT?,400,"She was an extra in Charlie Chaplin's ""City Lights"" before she starred in ""Platinum Blonde""",Jean Harlow
SCIENCE,400,In 1865 this chemist saved the French silkworm industry by eradicating pebrine disease,Pasteur
MUSEUMS,400,A Milan museum named for this Renaissance man contains models of some of his machines and inventions,da Vinci
BOOKS & AUTHORS,400,"""Morning, Noon & Night"" was a 1995 bestseller by this author of ""The Other Side of Midnight""",Sidney Sheldon
POTENT POTABLES,400,The Old Tom type of this liquor is perfect for making a Tom Collins,gin
SHE WAS IN THAT?,600,"This glamorous star born in Hungary played the owner of a strip joint in Orson Welles' ""Touch of Evil""",Zsa Zsa Gabor
SCIENCE,600,"In this ""effect"" first described in 1842, the pitch of a train whistle seems to change as it moves",the Doppler effect
MUSEUMS,600,It opened in Madrid as the Royal Museum of Painting in 1819,the Prado
BOOKS & AUTHORS,600,"His 1981 novel ""Midnight's Children"" wasn't quite as controversial as ""The Satanic Verses""",Salman Rushdie
POTENT POTABLES,600,It's the term for pouring a wine from its bottle into a container such as a carafe,decant
SHE WAS IN THAT?,800,Rita Moreno is featured as silent screen siren Zelda Zanders in this Gene Kelly musical,Singin' in the Rain
SCIENCE,800,"His experiments with light, including those with prisms, were published in his 1704 book ""Opticks""",Isaac Newton
MUSEUMS,800,"This playwright's home in Taganrog, Russia is now preserved as a museum",Chekhov
MODERN HISTORY,2000,The 3 popes who reigned in 1978,"Pope John Paul II, Pope John Paul I, Pope Paul VI"
BOOKS & AUTHORS,800,"""Heaven and Hell"" was the last novel in his ""North and South"" trilogy",John Jakes
POTENT POTABLES,800,The Rothschild family bought Chateau Mouton in 1853 & this 700-year-old estate in 1868,(Château) Lafite
SHE WAS IN THAT?,1000,Jean Stapleton played a secretary in this 1971 crime drama that won Jane Fonda her first Oscar,Klute
SCIENCE,1000,"The Crookes tube, used to study these rays, led to the creation of the TV picture tube",cathode rays
MUSEUMS,1000,"Centre Guillaume-le-Conquerant in Normandy, France contains this celebrated work stitched in the 11th century",the Bayeux Tapestry
MODERN HISTORY,1000,"Traced to Argentina in 1960, this Nazi official was transported to Israel, tried, and executed",Adolf Eichmann
BOOKS & AUTHORS,1000,A writer named Nathan Zuckerman is featured in several books by this author,Philip Roth
POTENT POTABLES,1000,The Demerara type of this spirit is highly flavored & therefore valued for blending,rum
FOOD,100,"Carpacchio, an Italian dish of raw shavings of this meat, is often served with capers",beef
THE OSCARS,100,"When he won for directing the Scottish epic ""Braveheart"", he joked ""What I really want to do is act""",Mel Gibson
COMPANY SYMBOLS,100,This black-and-white flightless bird is the symbol of a British-American book company,a penguin
HISTORIC NAMES,100,The international airport that serves Venice is named for this explorer famous for his Asian travels,Marco Polo
THE BEATLES,100,"This drummer joined the Beatles in 1962, replacing Pete Best",Ringo Starr (Richard Starkey)
FOOD,200,"Naan, an east Indian form of this, is usually baked in a tandoor",bread
THE OSCARS,200,"She had the ""Sense and Sensibility"" to win an Oscar for her screenplay adapted from Jane Austen's novel",Emma Thompson
COMPANY SYMBOLS,200,"McDonald's are ""golden""",the Arches
HISTORIC NAMES,200,This spiritual & political leader of India ended his last fast just days before he was slain in 1948,Mahatma Gandhi
THE BEATLES,200,"""Yeah, Yeah, Yeah"", this song was the Beatles' 2nd No. 1 hit in the U.S. after ""I Want to Hold Your Hand""","""She Loves You"""
THE OSCARS,300,"His performance as a suicidal alcoholic in ""Leaving Las Vegas"" won him the Best Actor Oscar",Nicolas Cage
COMPANY SYMBOLS,300,The button fasteners on these jeans include the company name & S.F. Cal.,Levi's
HISTORIC NAMES,300,In 1817 the remains of Peter Abelard & this woman were entombed together in a Paris cemetery,Heloise
THE BEATLES,300,"This 1964 hit begins ""Well she was just seventeen - you know what I mean?""","""I Just Saw Her Standing There"""
THE OSCARS,400,"A ""champion"" among actors; this star of ""Spartacus"" earned a honorary Oscar & a  standing ovation",Kirk Douglas
COMPANY SYMBOLS,400,"Audi's symbol is these, one fewer than the Olympics uses",4 (interlocking) rings
HISTORIC NAMES,400,"England's King Henry VIII had 3 wives named Catherine:  Catherine Howard, Catherine of Aragon & this one",Catherine Parr
THE BEATLES,400,"This 1964 film, the Beatles' first, received an Oscar nomination for its musical score",A Hard Day's Night
THE OSCARS,500,"Winning for ""Dead Man Walking"", she told Tim Robbins, ""This is yours as much as mine.  Thank God we live together!""",Susan Sarandon
COMPANY SYMBOLS,500,This Swiss wristwatch company uses a white cross on a red square as its symbol,Swatch
HISTORIC NAMES,500,In 1487 Pope Innocent VIII appointed him grand inquisitor for all of Spain,Tomas de Torquemada
THE BEATLES,500,"Songs on this 1967 hit album include ""Lucy In The Sky With Diamonds"" & ""With A Little Help From My Friends""",Sgt. Pepper's Lonely Hearts Club Band
UNITED NATIONS SECRETARIES-GENERAL,200,China vetoed this Austrian's bid for an unprecedented third term as secretary-general,Kurt Waldheim
THE OLYMPICS,200,"At Antwerp in 1920, the Olympic flag debuted & these birds were first released as symbols of peace",Doves
ART & ARTISTS,200,"He was in his 20's when he sculpted the ""Pieta"", now in St. Peter's Basilica",Michelangelo
RELIGION,200,"In January of 1377, Pope Gregory XI moved the papacy back to this city",Rome
WORLD LITERATURE,200,"Sancho Panza calls him ""The Knight of the Sad Countenance""",Don Quixote
MOUNTAINS,200,South America's Apurimac & Marinon Rivers rise in the permanent snows & glaciers of this range,The Andes
UNITED NATIONS SECRETARIES-GENERAL,400,This current secretary-general accompanied Anwar Sadat on his historic 1977 trip to Israel,Boutros Boutros-Ghali
THE OLYMPICS,400,"With 8,611 points, Robert Zmelik of Czechoslovakia won this multi-sport event in 1992",Decathlon
ART & ARTISTS,400,He painted tropical landscapes on Martinique before he moved to Tahiti,Paul Gauguin
RELIGION,400,In 1642 this spiritual leader became the ruler of Tibet,Dalai Lama
WORLD LITERATURE,400,"This classic story collection includes ""The Tales of Sinbad"", ""Aladdin"" & ""Ali Baba""","""Arabian Nights"""
MOUNTAINS,400,The southern slopes of this highest Japanese mountain extend to the shore of Suruga Bay,Mt. Fuji
UNITED NATIONS SECRETARIES-GENERAL,600,This Peruvian diplomat served with the U.N. peacekeeping mission in Cyprus from 1975-1977,Javier Perez de Cuellar
THE OLYMPICS,600,"The Olympic motto, ""Citius Altius Fortius"",translates to ""Swifter, Higher"" & this",Stronger
ART & ARTISTS,600,"This Frenchman painted many portraits of ballet dancers including ""Dancer With a Fan"" in 1879",Edgar Degas
RELIGION,600,"His name is a contraction of Arabic for ""The God""; The Koran says he is eternal & omnipotent",Allah
WORLD LITERATURE,600,"In this 1862 novel, ex-convict Jean Valjean steals the Bishop of Digne's silverware",Les Misérables
MOUNTAINS,600,"Coffee & bananas are grown on the lower slopes of this mountain, the highest in Africa",Mt. Kilimanjaro
UNITED NATIONS SECRETARIES-GENERAL,2600,He was press director for Burma's interim government following its vote for independence,U Thant
THE OLYMPICS,800,The 1968 summer games in this capital city were the first telecast in color,Mexico City
ART & ARTISTS,800,"This Spanish court artist's 1620s painting ""Los Borachos"" or ""The Drinkers"" is in the Prado",Diego Velasquez
RELIGION,800,Bodhisattvas are personifications of the virtues of this founder of a religion,Buddha
WORLD LITERATURE,800,"His ""The Brothers Karamazov"" was translated into English in 1912, 32 years after it was 1st published",Fyodor Dostoevsky
MOUNTAINS,800,The world's 2nd-tallest mountain; it's also known as Kechu,K2 (Mt. Godwin-Austen)
UNITED NATIONS SECRETARIES-GENERAL,1000,"After he left office in 1953, he returned to Norway & later served in the cabinet",Trygve Lie
THE OLYMPICS,1000,"The first torch relay was run in 1936, taking the flame from Olympia, Greece to this city",Berlin
ART & ARTISTS,2000,"This Dutchman's brother Adrian may have been the model for his ""The Man With the Golden Helmet""",Rembrandt
RELIGION,1000,The horseradish on the plate for this Jewish holiday symbolizes the bitterness of slavery in Egypt,Passover
WORLD LITERATURE,1000,"Shakespeare's ""Cymbelline"" is based in part on a story from this 14th c. work by Bocaccio","""The Decameron"""
MOUNTAINS,1000,Both ends of this mountain chain between Romania & Slovakia lie on the Danube River,Carpathian Mountains
FLORIDA,100,The Florida largemouth type of this is Florida's official freshwater fish,Bass
5-LETTER WORDS,100,"A metalworker, or a common surname",Smith
AWARDS,100,"At the 1996 People's Choice Awards, this ""Apollo 13"" star received 2 awards for favorite actor",Tom Hanks
ANIMALS,100,The silky & Yorkshire are toy breeds of this dog,Terrier
HERBS & SPICES,100,In the 1770s bergamot was used to brew this while the American colonies boycotted the British product,Tea
SPORTS NICKNAMES,100,"""Shaq""",Shaquille O' Neal
FLORIDA,200,"This inventor had the bright idea to plant hundreds of palms in Fort Myers, now known as ""The City of Palms""",Thomas Edison
5-LETTER WORDS,200,This term for a person who's authorized to act for another is short for procuracy,Proxy
AWARDS,200,In 1989 the N.A.B. established an award named for this wireless radio pioneer,Guglielmo Marconi
ANIMALS,200,"Perhaps referring to its erratic behavior, the gnu is also called this",Wildebeest
HERBS & SPICES,200,Its botanical name is zingiber officinale & it will put a snap or a zing in your cookies,Ginger
SPORTS NICKNAMES,200,"""The Shoe""",Willie Shoemaker
FLORIDA,300,The Spanish Beard Contest has been a hair-raising event at this oldest U.S. city's Days In Spain Festival,St. Augustine
5-LETTER WORDS,300,"It's the hollow, stemlike shaft of a feather",Quill
AWARDS,300,"Kurt Wait, the first man to win this contest, captured $1 million for his Macadamia Fudge Torte",Pillsbury Bake-Off
ANIMALS,300,The 2 popular breeds of dairy cattle named for Britain's 2 largest Channel Islands,Jersey & Guernsey
HERBS & SPICES,300,"In large quantities, this eggnog topper is poisonous",Nutmeg
SPORTS NICKNAMES,300,"Football's ""Boomer""",Boomer Esiason
FLORIDA,400,A revolving platform called Kodak's Island in the Sky provides panoramic views of these gardens near Winter Haven,Cypress Gardens
5-LETTER WORDS,400,Type of puzzle in which pictures or symbols represent words or phrases,Rebus
AWARDS,400,Rosa Parks was among those honored by the president in 1996 with this highest civilian award,Presidential Medal of Freedom
ANIMALS,400,"Up to 50 feet in length, the whale species of this fish is the largest in the sea",Shark
HERBS & SPICES,400,A mixture of this seed & salt is used in Bloody Marys & stuffings,Celery
SPORTS NICKNAMES,400,"Hockey's ""The Great One""",Wayne Gretzky
FLORIDA,500,"Open since 1913, Joe's Stone Crab Restaurant is a highlight of this trendy area of Miami Beach",South Beach
5-LETTER WORDS,500,"A short, pithy expression, or a dwarfish creature who guards a treasure",Gnome
AWARDS,500,"Her ""Heidi Chronicles"" won the 1989 New York Drama Critics' Circle Award for best new play",Wendy Wasserstein
ANIMALS,500,"In summer, when its coat is brown, the ermine is referred to by this name",Stoat/Weasel
HERBS & SPICES,500,"In old England this fruit was roasted & served with caraway; ""Henry IV, Part 2"" mentions it",Apples
SPORTS NICKNAMES,500,"""The Brown Bomber""",Joe Louis
SCULPTURE,200,"This creator of ""The Thinker"" studied sculpture with Antoine Louis Barye",Auguste Rodin
LITERATURE,200,"In 1938 actor Orson presented this novelist's ""The War of the Worlds"" on radio",H.G. Wells
AROUND THE WORLD,200,About 3% of this country's people live on collective settlements called kibbutzim,Israel
POLITICIANS,200,This Tennessee senator & father of the VP helped write the 1956 Federal-Aid Highway Act,"Albert Gore, Sr."
ANCIENT HISTORY,200,"The Bantu migration from modern Cameroon to the south of this continent began about 2,000 years ago",Africa
TV & FILM SAXOPHONISTS,200,"He was the guest saxophonist on the June 3, 1992 ""Arsenio Hall Show""",Bill Clinton
SCULPTURE,400,"Cyrus Edward Dallin's ""Sir Isaac Newton"" is in this Washington, D.C. library",Library of Congress
LITERATURE,400,"On his fifth voyage, he encounters the Old Man of the Sea",Sinbad
AROUND THE WORLD,400,"2 miles from Innsbruck, you can see one of this country's best-preserved castles, Schloss Ambras",Austria
POLITICIANS,1200,"Jimmy Carter attended the 1996 funeral of this Maine senator, once his secretary of state",Edmund Muskie
ANCIENT HISTORY,400,In 337 Constantine The Great abolished this form of execution out of respect for Jesus,Crucifixion
TV & FILM SAXOPHONISTS,400,Clint Eastwood directed this 1988 biopic about jazz saxophonist Charlie Parker,"""Bird"""
SCULPTURE,600,This Michelangelo sculpture in Florence was carved from marble left by Agostino di Duccio,"""David"""
LITERATURE,600,"In this F. Scott Fitzgerald novel, Myrtle Wilson is accidentally run over & killed by Daisy Buchanan","""The Great Gatsby"""
AROUND THE WORLD,600,"When in Ecuador you might ""experiment"" with new foods like cuy, which is this lab rodent, baked",Guinea Pig
POLITICIANS,600,William Scranton was governor of this state from 1963 to 1967 & later served as U.S. ambassador to the U.N.,Pennsylvania
ANCIENT HISTORY,600,In the 200s Eratosthenes calculated the circumference of this within about 15% of accurate,The Earth
TV & FILM SAXOPHONISTS,1000,"(VIDEO DAILY DOUBLE): 1984 film that featured the following: ""It's a free country, welcome to almost anyone, and I hope that someday you'll join me here; of course I'll continue to write to you every week.  Yes, in America anything is possible.  Good-bye for now, beloved family.  I love you.  Voya."" (playing a saxophone in a city park)","""Moscow On The Hudson"" (with Robin Williams)"
SCULPTURE,800,"This Rochester, Minn. medical clinic commissioned William Zorach's 1953 ""Man And Work""",The Mayo Clinic
LITERATURE,800,This E.M. Forster novel is set in the fictional city of Chandrapore,"""A Passage To India"""
AROUND THE WORLD,800,The capital of Indonesia is on this island,Java
POLITICIANS,800,In 1974 this Arkansas Democrat lost his bid for a sixth term in the U.S. Senate,William Fulbright
ANCIENT HISTORY,800,"Ephialtes, a Thessalian, betrayed the Greeks holding these ""hot gates"" against the Persian invasion",Thermopylae
